,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,Ticker,Asset Type
0,NIFTYBEES,EQ,09-Aug-2023,215.79,216.85,216.85,212.8,216.5,216.49,215.39,"20,25,167","43,61,92,790.66","22,818","15,20,530",75.08,NIFTYBEES,ETF
1,NIFTYBEES,EQ,10-Aug-2023,216.49,217.27,217.27,215.01,215.45,215.33,215.57,"21,00,995","45,29,01,973.43","25,814","15,58,558",74.18,NIFTYBEES,ETF
2,NIFTYBEES,EQ,11-Aug-2023,215.33,217.21,217.21,214.25,214.5,214.4,214.62,"23,85,921","51,20,65,839.28","28,017","17,49,126",73.31,NIFTYBEES,ETF
3,NIFTYBEES,EQ,14-Aug-2023,214.4,217.82,217.82,211.65,214.45,214.51,213.58,"28,78,972","61,48,77,213.98","39,005","17,92,489",62.26,NIFTYBEES,ETF
4,NIFTYBEES,EQ,16-Aug-2023,214.51,218.47,218.47,212.68,214.58,214.57,214.01,"16,04,526","34,33,89,651.53","33,247","9,68,904",60.39,NIFTYBEES,ETF
5,NIFTYBEES,EQ,17-Aug-2023,214.57,218.17,218.17,208.15,213.6,213.7,213.79,"15,82,007","33,82,12,810.82","23,177","12,41,597",78.48,NIFTYBEES,ETF
6,NIFTYBEES,EQ,18-Aug-2023,213.7,218.19,218.19,212.31,212.9,213.0,212.93,"24,86,828","52,95,23,117.37","32,927","17,73,661",71.32,NIFTYBEES,ETF
7,NIFTYBEES,EQ,21-Aug-2023,213.0,213.69,213.98,212.0,213.35,213.5,213.51,"29,77,924","63,58,04,559.96","31,315","25,64,945",86.13,NIFTYBEES,ETF
8,NIFTYBEES,EQ,22-Aug-2023,213.5,218.11,218.11,213.1,213.58,213.43,213.55,"19,83,391","42,35,50,816.46","18,414","14,84,825",74.86,NIFTYBEES,ETF
9,NIFTYBEES,EQ,23-Aug-2023,213.43,216.4,216.4,212.78,214.27,214.37,214.07,"15,50,674","33,19,51,176.18","25,108","12,23,248",78.88,NIFTYBEES,ETF
10,NIFTYBEES,EQ,24-Aug-2023,214.37,218.47,218.47,213.33,213.62,213.77,214.67,"25,26,797","54,24,22,884.21","25,137","17,10,631",67.7,NIFTYBEES,ETF
11,NIFTYBEES,EQ,25-Aug-2023,213.77,207.35,214.48,207.35,212.51,212.76,212.79,"26,46,009","56,30,48,682.95","27,478","19,25,431",72.77,NIFTYBEES,ETF
12,NIFTYBEES,EQ,28-Aug-2023,212.76,217.47,217.47,211.0,213.09,212.87,213.08,"15,48,577","32,99,76,661.16","36,129","9,73,065",62.84,NIFTYBEES,ETF
13,NIFTYBEES,EQ,29-Aug-2023,212.87,217.47,217.47,212.8,213.36,213.16,213.12,"13,14,371","28,01,19,549.59","18,034","8,44,878",64.28,NIFTYBEES,ETF
14,NIFTYBEES,EQ,30-Aug-2023,213.16,217.47,217.47,207.65,213.75,213.54,213.8,"15,83,782","33,86,10,581.76","16,264","11,55,774",72.98,NIFTYBEES,ETF
15,NIFTYBEES,EQ,31-Aug-2023,213.54,207.15,217.47,207.15,213.2,212.77,213.05,"28,21,233","60,10,72,955.26","28,125","23,83,817",84.5,NIFTYBEES,ETF
16,NIFTYBEES,EQ,01-Sep-2023,212.77,216.87,216.87,212.0,214.45,214.27,213.74,"19,29,234","41,23,49,063.56","33,611","15,00,054",77.75,NIFTYBEES,ETF
17,NIFTYBEES,EQ,04-Sep-2023,214.27,217.47,217.47,207.85,215.65,215.59,215.1,"19,25,839","41,42,51,621.25","43,018","14,58,401",75.73,NIFTYBEES,ETF
18,NIFTYBEES,EQ,05-Sep-2023,215.59,216.98,216.98,215.13,216.0,215.84,215.82,"23,33,420","50,36,03,390.03","27,913","17,95,880",76.96,NIFTYBEES,ETF
19,NIFTYBEES,EQ,06-Sep-2023,215.84,217.17,217.17,215.08,216.4,216.22,215.81,"25,16,081","54,29,95,171.82","25,992","19,82,759",78.8,NIFTYBEES,ETF
20,NIFTYBEES,EQ,07-Sep-2023,216.22,217.17,217.5,209.75,217.32,217.29,216.6,"16,70,195","36,17,71,106.73","28,252","11,64,404",69.72,NIFTYBEES,ETF
21,NIFTYBEES,EQ,08-Sep-2023,217.29,218.47,218.78,215.42,218.48,218.41,218.17,"18,86,253","41,15,30,225.74","23,897","13,91,041",73.75,NIFTYBEES,ETF
22,NIFTYBEES,EQ,11-Sep-2023,218.41,219.55,220.5,217.18,220.4,220.38,219.82,"28,65,226","62,98,37,505.84","38,358","18,54,913",64.74,NIFTYBEES,ETF
23,NIFTYBEES,EQ,12-Sep-2023,220.38,221.98,221.98,219.4,220.1,220.19,220.37,"24,29,267","53,53,26,710.45","26,652","16,35,720",67.33,NIFTYBEES,ETF
24,NIFTYBEES,EQ,13-Sep-2023,220.19,221.59,221.8,219.45,221.47,221.43,221.1,"27,77,591","61,41,27,240.45","20,576","22,57,041",81.26,NIFTYBEES,ETF
25,NIFTYBEES,EQ,14-Sep-2023,221.43,222.73,222.73,221.0,221.6,221.53,221.56,"39,91,183","88,42,82,445.22","23,042","25,10,197",62.89,NIFTYBEES,ETF
26,NIFTYBEES,EQ,15-Sep-2023,221.53,222.73,222.81,221.11,222.4,222.57,222.38,"23,69,619","52,69,55,211.16","23,599","17,61,981",74.36,NIFTYBEES,ETF
27,NIFTYBEES,EQ,18-Sep-2023,222.57,222.25,222.57,216.0,221.89,221.92,222.21,"23,15,850","51,46,03,085.14","30,806","16,84,636",72.74,NIFTYBEES,ETF
28,NIFTYBEES,EQ,20-Sep-2023,221.92,220.99,221.0,219.3,219.77,219.6,220.0,"33,24,262","73,13,22,310.42","43,415","24,95,191",75.06,NIFTYBEES,ETF
29,NIFTYBEES,EQ,21-Sep-2023,219.6,213.0,226.2,213.0,217.66,217.63,217.76,"30,45,078","66,30,90,172.97","32,689","24,55,682",80.64,NIFTYBEES,ETF
30,NIFTYBEES,EQ,22-Sep-2023,217.63,219.63,219.63,216.38,217.0,216.81,217.23,"41,09,713","89,27,71,908.41","30,036","24,88,114",60.54,NIFTYBEES,ETF
31,NIFTYBEES,EQ,25-Sep-2023,216.81,218.79,218.79,216.08,216.85,216.8,216.64,"22,39,994","48,52,62,962.04","29,775","15,90,257",70.99,NIFTYBEES,ETF
